Alcione;EU VOU PRA LAPA;É ela a dama da noite
Alcione;FAZ UMA LOUCURA POR MIM;Faz uma loucura por mim
Alcione;GAROTO MAROTO;Você faz de conta que quer meu perdão
Alcione;GOSTOSO VENENO;Esse amor me envenena...
Alcione;MELHORES MOMENTOS;Como posso explicar para o meu
Alcione;MENINO SEM JUÍZO;Sabe meu menino sem juízo
Alcione;MEU ÉBANO;É você e um negão de tirar o chapéu…
Alcione;MEU VÍCIO É VOCÊ;Meu cigarro é o perfume do mato
Alcione;NA HORA DA RAIVA;Na hora da raiva eu lhe disse tudo
Alcione;NÃO CHORE, NÃO;Pra quê chorar a vida é mesmo assim
Alcione;NÃO DEIXE O SAMBA MORRER;Não deixe o samba morrer
Alcione;O MUNDO É DE NÓIS DOIS;Esse nosso amor é a perfeição...
Alcione;O QUE EU FAÇO AMANHÃ?;De repente você vem dizer
Alcione;O SURDO;Amigo que ironia desta vida
Alcione;PIOR É QUE EU GOSTO;De repente é mais uma vez
Alcione;QUALQUER DIA DESSES;Qualquer dia desses
Alcione;QUEM É VOCÊ?;Quem é você
Alcione;RIO ANTIGO;Quero o bate-papo na esquina
Alcione;SE NÃO É AMOR;Se não é amor
Alcione;SUFOCO;Não sei se vou aturar esses seus abusos
Alcione;TÔ COM SAUDADE;Tô com saudade amor já não suporto
Alcione;VOCÊ ME VIRA A CABEÇA;Você me vira a cabeça me tira...
Alcione e Alexandre Pires;ESTRANHA LOUCURA;Minha estranha loucura...
Alda Célia;CHUVA DE AVIVAMENTO;Nos últimos dias diz o Senhor
Alda Célia;SOPRA ESPÍRITO DE DEUS;Sopra dos quatro cantos Espírito
Alejandro Sanz;CORAZÓN PARTÍO;Tiritas pa este corazón partío
Alesis;ALL FOR A REASON;I know it's late and I'm a little drunk...
CANTOR;TÍTULO;INÍCIO DA LETRA
Alesis Brothers;BABY COME BACK;Spending all my nights all my money
Alexandre Peixe;EU SOU MAIS VOCÊ;Ô ô... ô ô ô ô
Alexandre Peixe;VOCÊ VAI PIRAR;Você vai pirar vai enlouquecer
Alexandre Pires;A DEUS EU PEÇO;Que a menina dos meus olhos
Alexandre Pires;A MUSA DAS MINHAS CANÇÕES;No palco de um pequeno bar…
Alexandre Pires;BUM, BUM, BUM;Amiga olha só como mudou a vida...
Alexandre Pires;CIGANO;Era lindo o nosso amor
Alexandre Pires;COISA DO DESTINO;Isso é coisa do destino eu sofri
Alexandre Pires;DESSA VEZ EU ME RENDO;Dizem que amor não mata mas judia da
Alexandre Pires;É POR AMOR;A noite de lua cheia é quase...
Alexandre Pires;ERRO MEU;Se o amor bater deixa entrar
Alexandre Pires;EU TIRO A SUA ROUPA;Às vezes em silêncios a emoção me fa
Alexandre Pires;LEVE TUDO COM VOCÊ;Como pude mentir o meu bem eu traí
Alexandre Pires;MULHER DAS ESTRELAS;Ela canta demais
Alexandre Pires;NECESSIDADE;Beijar a tua boca é minha aventura...
Alexandre Pires;SE ELA ME AMASSE;Se ela me amasse
Alexandre Pires;SEM TEU AMOR NADA É IGUAL;Me pego remexendo em suas coisas
Alexandre Pires;SISSI;Laiá laiá laiá... Ai que dede que dede que delícia
Alexandre Pires;SÓ POR UM MOMENTO;Olha aqui, não fique esperando
Alexandre Pires;TIRA ELA DE MIM;Tira a lembrança que ela deixou…
Alexandre Pires;VEM ME AMAR (AMAME);Vem aqui doce amor...
Alexandre Pires;USTED SE ME LLEVÓ LA VIDA;Usted se me llévo la vida...
Alexandre Pires e Daniel;CHEGUEI TARDE DEMAIS;Não faz não quer não vem não fala nada
Alexandre Pires e Fat Family;AO SENTIR O AMOR;A sensação de ver você chegar...
Alexandre Pires e Revelação;DELÍRIOS DE AMOR;Me lembro o dia que cheguei
Aliados;SORRINDO;Ontem um sonho acabou
Alice Cooper;I NEVER CRY;If there's a tear on my face
Alice Cooper;NO MORE MR. NICE GUY;I used to be such a sweet sweet thing…
Alicia Keys;FALLIN';I keep on fallin' in and out love with
Alicia Keys;NO ONE;I just want you close
Alien Ant Farm;SMOOTH CRIMINAL;Ough!
Aline Barros;CONSAGRAÇÃO;Ao Rei dos Reis consagro tudo...
Aline Barros;DEUS DO IMPOSSÍVEL;O meu Deus é o Deus do Impossível...
Aline Barros;FICO FELIZ;U u... Fico feliz em vir em Tua casa...
Aline Barros;JESUS CRISTO MUDOU MEU VIVER;U ei ê... Jesus Cristo mudou meu viver...
Aline Barros;JESUS FAZ PARTE;É eu pude crer e ver o seu poder...
Aline Barros;RECOMEÇAR;Pai
Aline Barros;RESSUSCITA-ME;Mestre eu preciso de um milagre
Aline Barros;SONDA-ME, USA-ME;Sonda-me Senhor e me conhece
Aline Barros;DIGNO É O SENHOR;Graças eu te dou Pai pelo preço que pa
Aline Barros;RENOVA-ME SENHOR;Renova-me renova-me renova-me Senhor
Aline Calixto;FLOR MORENA;Flor morena que manda no meu coração
Alisson e Ryan;NÃO SOU SEU BRINQUEDO;Pára dá um tempo vê se larga do meu p
All-4-One;I SWEAR;I swear
Almir Rogério;FUSCÃO PRETO;Me disseram que ela foi vista com
Almir Rogério;MOTOQUEIRO;Tudo certo para o nosso casamento
Almir Saler;UM VIOLEIRO TOCA;Quando uma estrela cai no escuridão da noite...
Almir Sater;HORA DO CLARÃO;Ana Raio e Zé Trovão diz a sabedori
Almir Sater;PEÃO;Diga você me conhece eu já fui boiad
Almir Sater;TRAVESSIA DO ARAGUAIA;Naquele estradão deserto uma boiada
Almir Sater;VARANDAS;A noite é um mistério que eu finjo co
Alphaville;BIG IN JAPAN;Winter's cityside...
Alphaville;FOREVER YOUNG;Let's dance in style let's dance for
Altemar Dutra;A PRETENDIDA;Reclamas que te faltam meus carinhos
Altemar Dutra;BALADA TRISTE;Balada triste que me faz lembrar alguém...
Altemar Dutra;BLOCO DA SOLIDÃO;Angústia solidão um triste adeus
Altemar Dutra;BRIGAS;Veja só que tolice nós dois...
Altemar Dutra;CONTIGO APRENDI;Contigo aprendi...
Altemar Dutra;ESTÃO VOLTANDO AS FLORES;Vê...Estão voltando as flores vê
Altemar Dutra;EU SONHEI QUE TU ESTAVAS TÃO LINDA;Eu sonhei que tu estavas tão linda
Altemar Dutra;MARIA HELENA;Maria Helena és tu a minha inspiração…
Altemar Dutra;MEU VELHO (MI VIEJO);É um bom tipo meu velho e anda só...
Altemar Dutra;MODINHA;Olho a rosa na janela sonho um sonho
Altemar Dutra;MURMURA AO MAR;Murmura o mar a derramar uma canção
Altemar Dutra;O TROVADOR;Sonhei que eu era um dia um
Altemar Dutra;QUE QUERES TU DE MIM;Que queres tu de mim?
Altemar Dutra;SENTIMENTAL DEMAIS;Sentimental eu sou, eu sou demais
Altemar Dutra;SOMOS IGUAIS;Acabei de saber que você riu de mim...
Altemar Dutra;TUDO DE MIM;De que é feito afinal esse seu coraç
Altemar Dutra;VAI ANDORINHA;Ao ver passar no céu as andorinhas
Altemar Dutra - Martha Mendonça;VELHA COMPANHEIRA;Não tenho ódio dentro do meu peito
Álvaro e Daniel;AQUI É O SEU LUGAR;É pra você
Alvaro Tito;NÃO CHORE;Tua vida em perigo, se envolver
Alvim and The Chipmunks;CHRISTMAS DON'T BE LATE;Christmas Christmas time is near
Amado Batista;24 HORAS NO AR;Pare de pensar em besteira
Amado Batista;AMANTES;Já amanheceu
Amado Batista;AMIGO FORTE;Como é linda a vida quando vivida
Amado Batista;AMOR MEU LOUCO AMOR;Além do teu olhar o que mais pode
Amado Batista;CARTA SOBRE A MESA;Deixe-me renascer viver e crescer
Amado Batista;CHUVA DE VENTO;Vento que venta lá fora leva esta sau
Amado Batista;COMO NA PRIMEIRA VEZ;Quando o amor nos acontece...
Amado Batista;DESISTO;Rosto que beijei corpo que abracei
Amado Batista;EU QUERO É NAMORAR;Eu pensei
Amado Batista;EU SOU SEU FÃ;Quando você me quiser quando resolver
CANTOR;TÍTULO;INÍCIO DA LETRA
Amado Batista;MEU EX-AMOR;Eu tive um amor amor tão bonito…
Amado Batista;MUITOS COMPROMISSOS;Quanto tempo você vai chorar por mim
Amado Batista;NÃO QUERO FALAR COM ELA;Se ela ligar outra vez
Amado Batista;O FRUTO DO NOSSO AMOR (AMOR PERFEIT;Amor perfeito existia entre nóis dois...
Amado Batista;O POBRETÃO;Que pena que eu não posso ser...
Amado Batista;O PRÍNCIPE;Eu não esqueço
Amado Batista;PRINCESA;Ao te ver pela primeira vez...
Amado Batista;RECLAMANDO SUA AUSÊNCIA;Eu sei Foi o amor que fez…
Amado Batista;SECRETÁRIA (ASSÉDIO SEXUAL);Ela chega tão meiga tão bela...
Amado Batista;SERESTEIRO DAS NOITES;Existem momentos na vida que lembramo
Amado Batista;VÁ EMBORA;Vá embora do meu mundo
Amelinha;FOI DEUS QUEM FEZ VOCÊ;Foi Deus que fez o céu o rancho das
Amelinha;FREVO MULHER;Quantos aqui ouvem, os olhos
Amelinha;MULHER NOVA, BONITA E CARINHOSA;Numa luta de gregos e troianos
America;A HORSE WITH NO NAME;On the first part of the journey….
America;I NEED YOU;We used to laugh we used to cry
America;LONELY PEOPLE;This is for all the lonely people
America;SISTER GOLDEN HAIR;Well I tried to make it Sunday
America;TIN MAN;Sometimes late when things are real
America;VENTURA HIGHWAY;Chewing on a piece of grass
Amii Stewart;KNOCK ON WOOD;I don't want to lose you
Amy Winehouse;BACK TO BLACK;He left no time to regret
Amy Winehouse;LOVE IS A LOSING GAME;For you I was the flame
Amy Winehouse;REHAB;They tried to make me go to rehab
Amy Winehouse;TEARS DRY ON THEIR OWN;All I can ever be to you
Amy Winehouse;YOU KNOW I'M NO GOOD;Meet you downstairs in the bar and heard
Ana Canãs;ESCONDERIJO;Procuro a solidão como o ar procura
Ana Cañas;A ANA;Ahn ahn ahn ahn
Ana Carolina;10 MINUTOS;Por que você não atende as minhas lig
Ana Carolina;A CANÇÃO TOCOU NA HORA ERRADA;A canção tocou na hora errada
Ana Carolina;AQUI;Aqui
Ana Carolina;CARVÃO;Surgiu como um clarão
Ana Carolina;CONFESSO;Confesso acordei achando tudo indife
Ana Carolina;DOIS BICUDOS;Quando te vi andava tão desprevenido
Ana Carolina;É MÁGOA;É mágoa
