João Bosco e Vinícius;PARECE CASTIGO;Aonde estou que não perco a cabeça
João Bosco e Vinícius;SEM ESSE CORAÇÃO;Eu queria amar um pouco menos você
João Bosco e Vinícius;SOFRENDO POR AMOR;Tá sofrendo por amor por que não joga
João Bosco e Vinícius;SUFOCO;Eu sei que é amor e sinto pra valer
João Bosco e Vinícius;TARDE DEMAIS;Pois quando está sozinha liga toda
João Bosco e Vinícius;TEMA DIFERENTE;Eu quis fazer uma canção diferente
João Bosco e Vinícius;TÔ FALANDO SÉRIO;Você não tem limite você não tem hora
João Bosco e Vinícius;VOU DOAR MEU CORAÇÃO;Amigo por favor me dê uma ajuda
João Carreiro e Capataz;É PRA CABÁ;É pra cabá com o pequi do Goiás é pra
João Carreiro e Capataz;FACULDADE DA PINGA;Estuda não mai beber pinga é com nóis mesmo
João Carreiro e Capataz;VOLTA PRO MEU CORAÇÃO;Tentei fugir de ti
João Donato;NÃO SEI COMO FOI;Não sei se foi…
João Lucas & Marcelo;EU QUERO TCHU, EU QUERO TCHA;Eu quero tchu eu quero tcha
João Márcio e Fabiano;CASA DAS PRIMA;Deixe minhas coisas no portão
João Márcio e Fabiano;PISTOLEIRA;Entre o céu e o inferno dei a ela o
João Mineiro e Marciano;ALINE;Ontem retornei na areia
João Mineiro e Marciano;AMOR CLANDESTINO;Quando a porta se abrir
João Mineiro e Marciano;CRISES DE AMOR;Só existe um caminho pra nós dois
João Mineiro e Marciano;ESTA NOITE COMO LEMBRANÇA;Você me pede nesta noite que estamos
João Mineiro e Marciano;SEU AMOR AINDA É TUDO;Muito prazer em revê-la
João Mineiro e Marciano;VIOLA ESTÁ CHORANDO;Trago no peito uma saudade tão doída
Joao Neto e Frederico;GALERA DO BOTECO;Alô Galera do boteco
CANTOR;TÍTULO;INÍCIO DA LETRA
João Neto e Frederico;BEBO E DOU TRABALHO;Eu já bebi pra carai
João Neto e Frederico;DETONOU;Detonou explodiu
João Neto e Frederico;DIFÍCIL;Difícil não pensar
João Neto e Frederico;É PRA VALER;Se telefono por que não me atende
João Neto e Frederico;FILME DE AMOR;Sou louco por você me dê a sua mão
João Neto e Frederico;LÊ LÊ LÊ;Em plena sexta-feira fui tentar me
João Neto e Frederico;MEU CORAÇÃO PEDE CARONA;Faz tempo tô na estrada
João Neto e Frederico;NÃO VOU MAIS CHORAR;Te esquecer era o que eu mais queria
João Neto e Frederico;O CARA ERRADO;Quando você foi embora eu disse pra v
João Neto e Frederico;PEGA FOGO CABARÉ;Mas pega fogo cabaré
João Neto e Frederico;TÁ COMBINADO;Tá pra nascer alguém que me prenda
João Neto e Frederico;TE AMO E NADA MAIS;Teus olhos o teu jeito a sua voz fala
João Paulo & Eduardo;PROMESSA;Tô sentindo sua falta quero seu calor
João Paulo e Daniel;ALGUÉM;Alguém, eu preciso ter alguém...
João Paulo e Daniel;AS COISAS SÃO COMO SÃO;As vezes quando a gente sonha
João Paulo e Daniel;COM QUAL CARÍCIA;Você faz tudo que eu gosto
João Paulo e Daniel;CUIDA DE MIM;Outra vez cheguei tarde
João Paulo e Daniel;ELA TEM O DOM DE ME FAZER CHORAR;Deus, hoje eu vim aqui
João Paulo e Daniel;ESTOU APAIXONADO;Quero beber o mel em sua boca
João Paulo e Daniel;EU ME AMARREI;Eu me amarrei, eu me amarrei
João Paulo e Daniel;FAZENDA SÃO FRANCISCO;Eu fiz a maior proeza
João Paulo e Daniel;GRUDA EM MIM;Quando te vejo coração bate apressad
João Paulo e Daniel;HOJE EU SEI;Outra vez eu cheguei tarde
João Paulo e Daniel;MINHA ESTRELA PERDIDA;Você vai rir quando eu pedir
João Paulo e Daniel;MINI-SAIA;Mulher toma sua linha eu sou seu mari
João Paulo e Daniel;POEIRA DA ESTRADA;Levantei a tampa voltei ao passado
João Paulo e Daniel;ROSTO MOLHADO;Enxugue o rosto meu amor
João Paulo e Daniel;SÓ DÁ VOCÊ NA MINHA VIDA;Hoje cedo eu chorei
João Paulo e Daniel;TE AMO CADA VEZ MAIS;Pegue-me
João Paulo e Daniel;TOMA CONTA DE MIM;Me segura amor que eu sou a sua sort
João Paulo e Daniel;VAZIO;Como é que eu posso esquecer
João Paulo e Daniel;VOCÊ SÓ ME FAZ FELIZ;É nesse sonho que eu me encontro
João Paulo e Eduardo;DOIDA;Doida pirada
João Pedro e Cristiano;VIDA CIGANA;Ó meu amor não fique triste...
João Penca e Seus Miquinhos Amestr;BANANA SPLIT;Foi há muito tempo
João Penca e Seus Miquinhos Amestr;COMO O MACACO GOSTA DE BANANA;A minha palmeira é muito maneira eu
João Penca e Seus Miquinhos Amestr;LÁGRIMAS DE CROCODILO;No meio do deserto encontrei a sua i
João Penca e Seus Miquinhos Amestr;PSICODELISMO EM IPANEMA;Acordei um certo dia de um sono
João Penca e seus Miquinhos Amestr;MATINÊ NO RIAN;Eu por você sou capaz de mudar
João Sabiá;ELE VAI DAR PINTA;Ele vai dar pinta no Fashion Week
João Só;MENINA DA LADEIRA;Menina que mora na ladeira
Joaquim e Manoel;BOATE AZUL;Doente de amor...
Joaquim e Manoel;SOM DE CRISTAL;A casa noturna
Joe Cocker;YOU ARE SO BEAUTIFUL;You are so beautiful to me
Joe Cocker & Jennifer Warnes;UP WHERE WE BELONG;Who knows what tomorrow brings
Joe Euthanázia;ME LEVA PRA CASA;Ligo o rádio do meu carro e pego a e
Joe Jeffrey & Group;MY PLEDGE OF LOVE;I woke up this morning baby
John Denver;ANNIE'S SONG;You fill up my senses
John Denver;SUNSHINE ON MY SHOULDERS;Sunshine on my shoulders
John Denver;TAKE ME HOME COUNTRY ROADS;Almost heaven, west Virginia
John Denver e P. Domingo;PERHAPS LOVE;Perhaps love is like a resting place...
John Lennon;IMAGINE;Imagine there's no heaven
John Lennon;LOVE;Love is real is love love  is feeling
John Lennon;MIND GAMES;We're playing those mind games...
John Lennon;STAND BY ME;When the night has come
John Lennon;WOMAN;Woman, I can hardly express...
John Paul Young;LOVE IS IN THE AIR;Love is in the air everywhere I look a
John Travolta & Olivia Newton John;YOU'RE THE ONE THAT I WANT;I got chills they're multiplyin'
Johnny Horton;ALL FOR THE LOVE OF  A GIRL;Well today I'm so weary
Johnny Mathis;A CERTAIN SMILE;A certain smile a certain face…
Johnny Mathis;EVIE;There ain't future in it Evie
Johnny Mathis;GINA;Gina Gina
Johnny Mathis;MIST;Look at me I'm as helpless
Johnny Mathis;MY LOVE FOR YOU;My love for you
Johnny Nash;I CAN SEE CLEARLY NOW;I can see clearly now the rain is gone
Johnny Rivers;DO YOU WANNA DANCE;Do you wanna dance and hold my hand...
Johnny Rivers;POOR SIDE OF TOWN;Do doo bee doo wah shoo be doo be…
Johnny Rivers;SECRET AGENT MAN;There's a man who leads a life of danger
Johnny Rivers;SUMMER RAIN;Summer rain taps at my window
Jojo;LEAVE (GET OUT);I've been waiting all day for you babe
Jojo;TOO LITLE TOO LATE;Come with me stay the night
Jon Secada;DO YOU BELIEVE IN US;I tremble inside just thinking
Jon Secada;IF YOU GO;Taking a day at a time
Jon Secada;JUST ANOTHER DAY WITHOUT YOU;Mornings alone
Jonas Brothers;KIDS OF THE FUTURE;We're the kids we're the kids of the future
Jonas Brothers;WHEN YOU LOOK ME IN THE EYES;If the heart is always searching
Jonny Lang;LIE TO ME;Lie to me and tell me everything is all right
Jorge Aragão;À SOMBRA DA AMENDOEIRA;Que é que eu fiz pra você não sei
Jorge Aragão;ABUSO DE PODER;Lá lá... Eu disse a você...
Jorge Aragão;CONSELHO;Deixe de lado esse baixo astral
Jorge Aragão;DOCE AMIZADE;Vem vem pra me ver feliz...
Jorge Aragão;É TANTA ESSA DOR;É tanta essa dor mas tento manter serena
Jorge Aragão;FALSA CONSIDERAÇÃO;Agora eu sei
Jorge Aragão;FEITIÇO DE PAIXÃO;Queria o prazer do amor assim desejando estou..
CANTOR;TÍTULO;INÍCIO DA LETRA
Jorge Aragão;JÁ É;Não sei como aconteceu dava tudo...
Jorge Aragão;LOUCURAS DE UMA PAIXÃO;Sem lhe conhecer...
Jorge Aragão;MALANDRO;La laiá laiá....Malandro.......
Jorge Aragão;PAPEL DE PÃO;Eu nem sei dizer o que senti
Jorge Aragão;SIM;Sim agora tenho sim razões para viver
Jorge Aragão;VINGARÁ;Ninguém nunca entenderá nem eu tudo quanto p
Jorge Aragão e Exaltasamba;EU E VOCÊ SEMPRE;Logo logo assim que puder...
Jorge Aragão e Jorge Vercilo;ENCONTRO DAS ÁGUAS;Sem querer…
Jorge Aragão e Zeca Pagodinho;MUTIRÃO DE AMOR;Cada um de nós deve saber se…
Jorge Benjor;A BANDA DO ZÉ PRETINHO;A Banda do Zé Pretinho Chegou
Jorge Benjor;A PRINCESA E O PLEBEU;Sei que sou pobre contigo não posso ca
Jorge Benjor;ALCOHOL;O mago mandou avisar: água de beber
Jorge Benjor;BEBETE VÃOBORA;Bebete vãobora pois já está na hora
Jorge Benjor;CADÊ TEREZA;Cadê Tereza onde anda minha Tereza...
Jorge Benjor;CARAMBA! GALILEU DA GALILÉIA;Disseram que ele não vinha
Jorge Benjor;CAROLINA CAROL BELA;Foi numa tarde de domingo
Jorge Benjor;CHARLES ANJO 45;Oba oba oba Charles
Jorge Benjor;CHOVE CHUVA;Chove chuva chove sem parar
Jorge Benjor;ENGENHO DE DENTRO;Olhaí meu bem prudência e dinheiro
Jorge Benjor;FIO MARAVILHA;Novamente ele chegou com
Jorge Benjor;IVE BRUSSEL;Você com essa mania sensual
Jorge Benjor;MAS QUE NADA;Oh, Bahia aiô obá, obá, obá
Jorge Benjor;MULHER BRASILEIRA;Mulher brasileira aonde é que está…
Jorge Benjor;O TELEFONE TOCOU NOVAMENTE;O telefone tocou novamente...
Jorge Benjor;OS ALQUIMISTAS ESTÃO CHEGANDO;Os alquimistas estão chegando
Jorge Benjor;PAÍS TROPICAL;Moro num país tropical abençoado
Jorge Benjor;POR CAUSA DE VOCÊ MENINA;Por causa de você bate em meu peito
Jorge Benjor;QUE MARAVILHA;Lá fora está chovendo
Jorge Benjor;QUE PENA;Ela já não gosta mais de mim
Jorge Benjor;SALVE SIMPATIA;Com sorriso carinho
Jorge Benjor;SANTA CLARA CLAREOU;Santa Clara clareou ôh ôh
Jorge Benjor;W/BRASIL;Alô alô W/Brasil
Jorge Benjor;XICA DA SILVA;Xica da, Xica da, Xica da Silva
Jorge e Mateus;200 POR HORA;Não dá pra esquecer teus olhos
Jorge e Mateus;AÍ JÁ ERA;Para pra pensar porque eu já me toquei
Jorge e Mateus;AMO NOITE E DIA;Tem um pedaço do meu peito
Jorge e Mateus;AMOR COVARDE;Quando a gente fica junto tem briga
Jorge e Mateus;AMOR NÃO É JOGO DE AZAR;Está na hora de você voltar pra mim
Jorge e Mateus;CHOVE, CHOVE;Chove quando você some
Jorge e Mateus;DE TANTO TE QUERER;Larga tudo e vem correndo
Jorge e Mateus;DUAS METADES;Pra falar do amor de verdade vou começar
Jorge e Mateus;ESPELHO;Baby as palavras estão mudas
Jorge e Mateus;FLOR;Flor ô u ô ô... Flor pra onde for você for
Jorge e Mateus;MEU BEM QUERER;Posso até fazer de tudo pra você vol
Jorge e Mateus;MIL ANOS;Você fala demais
Jorge e Mateus;MISTÉRIOS;Não há disfarce nesse seu olhar
Jorge e Mateus;MORENA PROIBIDA;Por causa de um par de olhos negros
Jorge e Mateus;O QUE É QUE TEM?;E pra deixar acontecer a pena tem que valer
Jorge e Mateus;PODE CHORAR;Quase que acabo com a minha vida
Jorge e Mateus;SAUDADE;Meus olhos estão mergulhados num pranto
Jorge e Mateus;SE EU PEDIR CÊ VOLTA;Eu nem lembrava mais o gosto do seu
Jorge e Mateus;TE AMO TANTO;Ah não dá mais pra ficar assim
Jorge e Mateus;TE CUIDA CORAÇÃO;Já cansei de avisar pro meu coração
Jorge e Mateus;TEM NADA A VER;Alguém me disse que você falou
Jorge e Mateus;TEMPO AO TEMPO;Você já percebeu
Jorge e Mateus;TRAZ ELA DE VOLTA PRA MIM;Meu bem o que aconteceu
Jorge e Mateus;VOA BEIJA FLOR;Você não sabe o que é amor
Jorge e Mateus;VOU FAZER PIRRAÇA;Vou pagar promessa de joelhos
Jorge e Mateus-Cristiano;EFEITOS;Seus efeitos ainda dominam em mim
Jorge Guilherme;VESTÍGIOS;Tava escuro e eu procurando por você
Jorge Vercilo;AVESSO;Nós já temos encontro marcado
Jorge Vercilo;CICLO;Eu não sei o que me domina…
Jorge Vercilo;DEVANEIO;Mergulhei no mar e não dava pé
Jorge Vercilo;DEVE SER;Deve ser
Jorge Vercilo;ELA UNE TODAS AS COISAS;Ela une todas as coisas como eu pode
Jorge Vercilo;EM ÓRBITA;Quero ter voçê...
Jorge Vercilo;EU E A VIDA;Vem me pedir além do que eu posso dar
Jorge Vercilo;FÊNIX;Eu prisioneiro meu…
Jorge Vercilo;HIMALAIA;O mundo inteiro está guardado em mim
Jorge Vercilo;HOMEM-ARANHA;Eu adoro andar no abismo…
Jorge Vercilo;INVISÍVEL;Quando passou aqui você me abalou
Jorge Vercilo;LEVE;O levitar dos colibris graciosamente
Jorge Vercilo;LIVRE;Um no Leme outro no Leblon
Jorge Vercilo;MELHOR LUGAR;Se fosse por mim eu ficava
Jorge Vercilo;MONALISA;É incrível nada desvia um destino...
Jorge Vercilo;PENSO EM TI;Eu queria não sentir essa saudade
Jorge Vercilo;PRAIA NUA;Ah meu sol meu bem minha vida escurec
Jorge Vercilo;QUE NEM MARÉ;Faz um tempão…
Jorge Vercilo;SIGNO DE AR;anda…manda e desmanda num beijo…
Jorge Vercilo;TODA ESPERA;É a paciência foi pela vida inteira
Jorge Vercilo;ULTRA LEVE AMOR;Passo de novo na rua em que você…
Jorge Vercilo;UM SEGREDO E UM AMOR;Um segredo e um amor o que será maio
Jorge Vercilo;VELA DE ACENDER VELA DE NAVEGAR;Vê-la me faz crescer
Jorge Vercilo;VENTANIA;Sangro sangro os mares à serviço do Rei estou
CANTOR;TÍTULO;INÍCIO DA LETRA
José Augusto;AGÜENTA CORAÇÃO;Coração, diz pra mim
José Augusto;ALMA E CORAÇÃO;Quem é você que conquistou meu coração...
José Augusto;COISAS DO CORAÇÃO;Quantas vezes te falei
José Augusto;SÁBADO;Todo sábado é assim eu me lembro...
José Feliciano;ONCE THERE WAS A LOVE;Once there was a love
José Roberto;BENZINHO;Benzinho... por que deixou-me assim
Jota Canalha;CHATOS EM DESFILE;Se o cara chateia
Jota Quest;ALÉM DO HORIZONTE;Além do horizonte existe um lugar
Jota Quest;AMOR MAIOR;Eu quero ficar só...
Jota Quest;DE VOLTA AO PLANETA DOS MACACOS;Lá fora
Jota Quest;DO SEU LADO;La la... Faz muito tempo mas eu...
Jota Quest;FÁCIL;Tudo é tão bom e azul e calmo
Jota Quest;JÁ FOI;Eu sempre quis fazer você feliz
Jota Quest;LA PLATA;Grana suja grana justa
Jota Quest;MAIS PERTO DE MIM;Quem sabe um dia ainda consiga
Jota Quest;NA MORAL;Na moral , na moral só na moral...
Jota Quest;O QUE EU TAMBEM NÃO ENTENDO;Essa não e mais uma carta de amor...
Jota Quest;O SOL;Ei dor... eu não te escuto mais
Jota Quest;O VENTO;Voe por todo mar e volte aqui...
Jota Quest;OXIGÊNIO;Mesmo com a fumaça dá pra ver...
Jota Quest;PALAVRAS DE UM FUTURO BOM;Anda... enquanto o dia acorda
Jota Quest;SEIS E TRINTA;Pareço contigo normal e do avesso
Jota Quest;SEMPRE ASSIM;Sete e quinze eu acordo e começo...
Jota Quest;SÓ HOJE;Hoje eu preciso te encontrar….
Jota Quest;TELE-FOME;Não alimento amor por telefone...
Jota Quest;ÚNICO OLHAR;Então me coloco à sua frente
Jota Quest;VEM ANDAR COMIGO;Basta olhar no fundo dos meus olhos
Jota Queste;DIAS MELHORES;Vivemos esperando dias melhores ...
Jovem Guarda;RITMO DA CHUVA;Olho para a chuva que não quer cessar
Joyce;CLAREANA;Um coração de mel
Joyce;FORA DE HORA;Fora de hora
Juan Luis Guerra;ROMANCE ROSA;Eu te dei uma rosa que encontrei
Juca Novaes e Lenine;MEIO ALMODÓVAR;Oh oh oh oh... Foi só um ensaio
Judy Garland;OVER THE RAINBOW;Somewhere over the rainbow…
Juízo Final;ATLETAS DE CRISTO;Atletas... Com um compromisso...
Juliana Baroni;CIDADE TRISTE;A dor
Juliana Baroni;DANCE, DANCE, DANCE;Tantos desafios tanto a percorrer
Juliana Baroni;QUERO TE ENCONTRAR;É triste saber
Juliana Baroni e Lorenzo Martins;NÃO HÁ HORA NEM LUGAR;De que adianta reclamar
Juliana Diniz;PARA FICAR;Menino o seu amor foi-se embora
Julie Andrews;DO RE MI;Doe a deer a female deer
Julie Andrews;EDELWEISS;Edelweiss edelweiss
Julieta Venegas e Marisa Monte;ILUSION;Uma vez eu tive uma ilusão
Julio Iglesias;CRAZY;Crazy, I'm crazy for feeling so lonely
Julio Iglesias;DEVANEIOS;Ou me queres ou me deixas
Julio Iglesias;SÓ VOCÊ VAI ME FAZER FELIZ;Hoje eu sei e não vou mentir
Julio Iglesias e Daniel;VIVER A VIDA;Deixa que eu te fale um pouco...
Julio Iglesias, Zezé e Luciano;DOIS AMIGOS;Amigo eu vim aqui pra te falar
Jussara Silveira;ALÉM DO PARAÍSO;Perversa serpente do mal mentirosa e
Justin Bieber;BABY;Oh uh oh ah aaah
Justin Timberlake;ROCK YOUR BODY;Don't be so quick to walk away
Justin Timberlake;SEXY BACK;I'm bringin' sexy back them other boys
Justin Timberlake;WHAT GOES AROUND COMES AROUND;Hey girl is he everything you wanted
Juventude SA;HISTÓRIA DE AMOR;E foi assim que tudo aconteceu...
K.C.& The Sunshine Band;PLEASE DON'T GO;Babe, I love you so I want you to know
K.D.Lang;CONSTANT CRAVING;Even through the darkest phase…
Kadoshi;AGRADECIMENTO;Deus venho agradecer
Kadoshi;ALEGRIA;Alegria está em nós
Kadoshi;COMPROMISSO;Não existe nada melhor
Kadoshi;ENCONTRO;Procurei a paz e o amor a ternura
Kadoshi;EU NÃO PENSAVA;Eu não pensava que viria a saber
Kadoshi;FILHO PRÓDIGO;Um filho perdido voltou
Kadoshi;HÁ MOMENTOS;Há momentos que na vida pensamos
Kadoshi;O SENHOR É A MINHA LUZ;O Senhor é a minha luz a minha
Kadoshi;QUEM VIVE COM CRISTO;Quem vive com Cristo é feliz
Kadoshi;QUERO SIM;Ah, eu quero sim o teu amor, Senhor
Kadoshi;RAZÃO;Oh! Só Jesus
Kadoshi;REFRIGÉRIO;Tua vóz me traz consolo e refrigério
Kadoshi;TENHA FÉ;Tenha fé irmão tenha fé irmão
Kadoshi;VIVER O AMOR;Aqui está o Pai aqui está o Filho
Kaleidoscópio;FELIZ DE NOVO;Para para para para... eu sei que você
Kaleidoscópio;TEM QUE VALER;Tem que valer valer viver
Kaleidoscópio;VOCÊ ME APARECEU;Você me apareceu... Fez o tudo virar nada
Kaluana e Adriana Ribeiro;TUA INDIFERENÇA;Por que você não liga mais
Kansas;DUST IN THE WIND;I close my eyes
Kaoma;DANÇANDO LAMBADA;Morena, cintura de mola...
Karametade;COMO É QUE EU VOU FAZER;E quando a gente se encontrar...
Karametade;DANDÁ;Teu sorriso despertou em mim...
Karametade;DECISÃO;Há tanto tempo queria te falar
Karametade;GRITO DE PAIXÃO;Ilusão é uma flor no meio de
Karametade;LOUCA SEDUÇÃO;Com você eu fiz amor eu fiz paixão
Karametade;NÃO SEI SE TE ACEITO;Quando eu soube que voçê tinha ficado...
Karametade;NUNCA VOU DEIXAR VOCÊ;Não mudou nada em mim...
Karametade;SE MELHORAR ESTRAGA;Estava mal, de baixo astral
CANTOR;TÍTULO;INÍCIO DA LETRA
Karina Battis;O DONO DOS MEUS SONHOS;Tem tantas coisas que eu não entendo...
Karla Sabah;FATO CONSUMADO;Eu quero ver você mandar na razão
Karlos e Alessandro;DEIXA;Dentro desse teu sorriso eu vejo...
Karnak;COMENDO UVA NA CHUVA;Comendo uva na chuva
Karnak;JUVENAR;Tá frio aqui tá muito poluído
Kate Tunstall;SUDDENLY I SEE;Her face is a map of the world....
Kátia;DIREITOS;Você me aceitou
Kátia;LEMBRANÇAS;Já faz tanto tempo que eu deixei
Kátia;QUALQUER JEITO;Todo dia ao amanhecer
Katinguelé;MINHA DEUSA;Acordo pensando em você...
Katinguelê;APAIXONADAMENTE;Quando, te encontrei chorando
Katinguelê;APELO DE QUEM AMA;Quando eu me encontrar
Katinguelê;CILADA;Eh, mulher me comovi com sua história
Katinguelê;CORPO LÚCIDO;Como é difícil entender por que
Katinguelê;ENGRAÇADINHA;Linda de viver
Katinguelê;INARAÍ;Seu corpo é o mar por onde quero...
Katinguelê;LUANA;Eu vendo você na tristeza
Katinguelê;NO COMPASSO DO CRIADOR;Ao teu lado sou criança nosso amor é
Katinguelê;PEDINDO BIS;Meu bem meu coração está pedindo bis
Katinguelê;PERTINHO;Te sinto tão pertinho quando fico
Katinguelê;RECADO Á MINHA AMADA;Lua vai iluminar os pensamentos dela
Katinguelê;SÓ PEDINDO BIS;Não vejo a hora e o momento de te
Katinguelê;UM DOCE SABOR;Como definir seu beijo
Katsbarnea;EXTRA;Johny venha...
Katy Perry;HOT N COLD;You change your mind
Katy Perry;I KISSED A GIRL;This was never the way I planned
Katy Perry;WAKING UP IN VEGAS;You gotta help me out
KC & The Sunshine Band;SHAKE, SHAKE, SHAKE (SHAKE YOUR BOOT;Oh everybody get on the floor
Keane;EVERYBODY'S CHANGING;You say you wander your own land
Keane;IS IT ANY WONDER;I... I always thought that I knew...
Keane;SOMEWHERE ONLY WE KNOW;I walked across an empty land
Keane;THIS IS THE LAST TIME;This is the last time
Kelly Clarkson;BECAUSE OF YOU;I will not make the same mistakes...
Kelly Clarkson;BREAKAWAY;Grew up in a small town...
Kelly Key;A LOIRINHA, O PLAYBOY E O NEGÃO;Geral tava olhando a loirinha com o
Kelly Key;ADOLETA;Me ganhou com esse jeito de menino…
Kelly Key;ANJO;Mais uma noite chega e com ela....
Kelly Key;BABÁ;Coitado... Você não acreditou...
Kelly Key;BARBIE GIRL;Sou a Barbie Girl
Kelly Key;CACHORRINHO;Se tem uma coisa que me deixa passada…
Kelly Key;PEGUE E PUXE;Puxe puxe
Kelly Key;TÔ FORA;Podia ser muito melhor do que pensava
Kelly Key;VOCÊ É O CARA;A confiança tá fluindo
Kenny Loggins;FOOTLOOSE;I been workin' so hard
Kenny Rogers;LADY;Lady, I'm your knight in shining armor
Kenny Rogers;SHE BELIEVES IN ME;While she lays sleeping
Kenny Rogers;THROUGH THE YEARS;I can't remember when you weren't there
Kenny Rogers;YOU DECORATED MY LIFE;All my life was a paper…
Kenny Rogers & Sheena Easton;WE'VE GOT TONIGHT;I know it's late I know you're weary...
Kenny Rogers e Dolly Parton;ISLANDS IN THE STREAM;Baby when I met you there was peace on
Kid Abelha;A FÓRMULA DO AMOR;Eu tenho gestos aptos
Kid Abelha;ALICE;Tantos sonhos morrem em poucas palavra
Kid Abelha;AMANHÃ É 23;As entradas do meu rosto
Kid Abelha;COMO É QUE EU VOU EMBORA;Ah, ah, ah, ah, ah, ah, ah
Kid Abelha;COMO EU QUERO;Diz pra eu ficar muda faz cara de mistério
Kid Abelha;DEPOIS DAS SEIS;Desorientada esperei a lua aparece
Kid Abelha;DEUS (APAREÇA NA TELEVISÃO);Ah ah ah ah ah ah ah ah se ele é Deus
Kid Abelha;EDUCAÇÃO SENTIMENTAL;Eu ando tão nervoso pra te escrever
Kid Abelha;EDUCAÇÃO SENTIMENTAL II;A vida que me ensinaram
Kid Abelha;EM NOVENTA E DOIS;Meu coração está on
Kid Abelha;EU CONTRA A NOITE;Fiz um contrato com a noite...
Kid Abelha;EU SÓ PENSO EM VOCÊ;Saí de casa à procura de ilusões...
Kid Abelha;EU TOU TENTANDO;Eu tou tentando largar o cigarro
Kid Abelha;FIXAÇÃO;Seu rosto na TV parece um milagre
Kid Abelha;GRAND' HOTEL;Se agente não tivesse feito tanta coisa
Kid Abelha;LÁGRIMAS E CHUVA;Eu perco o sono e choro...
Kid Abelha;NA RUA, NA CHUVA, NA FAZENDA;Não estou disposto
Kid Abelha;NADA POR MIM;Você me tem fácil de mais
Kid Abelha;NADA SEI (APNÉIA);Nada sei dessa vida vivo sem saber…
Kid Abelha;NADA TANTO ASSIM;Só tenho tempo pras manchetes...
Kid Abelha;NO SEU LUGAR;Desde que estamos aqui eu não quero...
Kid Abelha;OS OUTROS;Já conheci muita gente gostei de alguns
Kid Abelha;PEITO ABERTO;Me dá a mão me leva embora…
Kid Abelha;PINTURA ÍNTIMA;Vem amor que a hora é essa
Kid Abelha;POR QUE EU NÃO DESISTO DE VOCÊ;Eu não desisto de você você precisa
Kid Abelha;SEU ESPIÃO;Uh uh uh... Ver você dormir...
Kid Abelha;STRIP-TEASE;Cai t-shirt
Kid Abelha;TE AMO PRA SEMPRE;Na na na na na na na
Kid Abelha;TODO MEU OURO;De longe eu penso em você
Kika Tristão;CORES DO VENTO;Se acha que eu sou selvagem
Kiko Zambianchi;ROLAM AS PEDRAS;Vejo sonhos livres pais irmãos e filho
Kiko Zambianchi;HEY JUDE;Hey Jude, não fique assim...
Kiloucura;EU TE AMO;Eu não aguento mais ter que viver...
CANTOR;TÍTULO;INÍCIO DA LETRA
Kiloucura;FALANDO SÉRIO;Só se eu fosse louco
Kiloucura;MEU CASAMENTO;Você devidiu meu coração...
Kiloucura;PELA VIDA INTEIRA;Quero ter você custe o que custar...
Kim Carnes;BETTE DAVIS' EYES;Her hair is harrow gold
Kiss;DETROIT ROCK CITY;I feel uptight on a saturday night
Kiss;FOREVER;I gotta tell you what I'm feeling insid
Kiss;LOVE GUN;I really love you baby
KLB;A CADA DEZ PALAVRAS;Faz tanto tempo que eu venho te…
KLB;A DOR DESSE AMOR;Perdoa se estou te ligando...
KLB;A ILHA;Uma ilha deserta só pra nós dois
KLB;AMOR DE VERDADE;Entrou na minha vida feito um furacão
KLB;CAROLINA;E esse dia que não passa O telefone
KLB;CHUVAS DE VERÃO;Veio feito nuvem numa ventania...
KLB;ELA NÃO ESTÁ AQUI;Tá dificil esquecer...
KLB;EM MIM SÓ DÁ VOCÊ;Por que a nossa história precisa...
KLB;ESTOU EM SUAS MÃOS;Você chegou derepente...
KLB;EU NUNCA TE ESQUECI;De novo vem a noite e eu estou aqui...
KLB;MINHA TIMIDEZ;Quero tanto dizer que eu só penso em...
KLB;POR CAUSA DE VOCÊ;Só você não vê finge que não sabe...
KLB;POR QUE TEM QUE SER ASSIM?;Uma linda estela eu vi brilhar...
KLB;QUERO FICAR COM VOCÊ;Dessa vez vou ter coragem
KLB;SEU NOME;Quando escuto a sua voz...
KLB;SÓ DESSA VEZ;Não consigo aceitar por que não você…
KLB;TE AMAR AINDA MAIS;Pra que se esconder se enganar...
KLB;UM ANJO;Hoje eu sonhei com um anjo…
Kleber Lucas;ALEGRIA DO SENHOR;O espírito de Deus se move em mim
Kleber Lucas;AOS PÉS DA CRUZ;Meu Jesus maravilhoso
Kleber Lucas;CASA DE DAVI CASA DE ORAÇÃO;Restaura Senhor o teu tabernáculo
Kleber Lucas;PRA VALER A PENA;Amanheceu
Kleber Lucas;VOU SEGUIR COM FÉ;O meu Deus é maior que os meus problem
Kleiton e Kledir;CORPO E ALMA;Quando eu era assim bem menor
Kleiton e Kledir;DEU PRA TI;Deu pra ti baixo astral
Kleiton e Kledir;FONTE DA SAUDADE;Esse quarto é bem pequeno
Kleiton e Kledir;NEM PENSAR;Eu hein nem pensar outra vez nem pensar...
Kleiton e Kledir;PÁRA, PEDRO;Era um baile lá na serra na Fazenda
Kleiton e Kledir;RODA DA FORTUNA;Em pleno século vinte eu quero mais é
Kleiton e Kledir;VIRA VIROU;Vou voltar na primavera...
Kleiton e Kledir;PAIXÃO;Oh... oh, oh, oh, oh oh...
